HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,R_squared,N_obs
83497,5-HIAA (sometimes used in differential),1166.6953,-21.5318,-210.1575,20.4012,1.24E-32,1.27E-06,0.0111,3.74E-05,974.4764,1358.9142,-30.2442,-12.8193,-372.3877,-47.9273,10.7029,30.0995,0.8467,75
Agg_neurophysiologic/autonomic testing,,1100.5239,-21.4359,204.4154,6.6875,1.28E-120,3.30E-26,0.0146,0.0338,1008.1605,1192.8874,-25.4029,-17.4688,40.3252,368.5057,0.5113,12.8638,0.8383,75
11103,"Tangential skin biopsy, each additional lesion",829.4596,2.2396,230.4035,0.9866,2.62E-26,0.6286,0.0158,0.8657,676.2630,982.6562,-6.8350,11.3142,43.3837,417.4233,-10.4495,12.4227,0.3257,63
11107,"Incisional skin biopsy, each additional lesion",51.7046,-0.6528,70.5862,-0.4320,3.02E-08,0.3122,0.0188,0.7350,33.4139,69.9954,-1.9188,0.6131,11.7207,129.4518,-2.9338,2.0697,0.1317,57
96138," Psychological or neuropsychological test administration and scoring by technician, first 30 minutes. ",6422.9825,48.4864,-1035.9406,55.1906,2.70E-62,0.0914,0.0197,0.0679,5667.2055,7178.7595,-7.8111,104.7840,-1906.4500,-165.4313,-4.0531,114.4342,0.7200,63
Agg_nerve_conduction,,10520.4636,24.2271,1846.7478,17.8794,1.48E-139,0.2535,0.0204,0.5925,9700.5332,11340.3939,-17.3544,65.8087,286.3071,3407.1886,-47.5891,83.3479,0.4369,75
96131," Psychological testing evaluation services, each additional hour. ",7748.8514,-37.4367,2799.1673,167.0647,6.17E-30,0.5565,0.0220,0.0144,6412.6364,9085.0665,-162.2192,87.3458,403.8449,5194.4898,33.2688,300.8606,0.7038,63
96125," Standardized cognitive performance testing, per hour. ",428.0152,-9.4235,106.8015,11.6408,3.99E-16,1.11E-05,0.0224,1.75E-05,324.9435,531.0869,-13.6269,-5.2201,15.1512,198.4518,6.3276,16.9540,0.2253,75
96112," Developmental test administration, first hour. ",6575.9433,155.6112,1448.7433,-93.9061,1.27E-66,2.64E-09,0.0251,0.0070,5828.4528,7323.4339,104.3718,206.8506,180.7637,2716.7228,-162.0939,-25.7183,0.7090,63
83721,"Lipoprotein, direct measurement; high-density cholesterol (HDL)",28361.4420,0.9661,3742.1227,64.9630,1.39E-295,0.9801,0.0273,0.4037,26848.6565,29874.2274,-74.8643,76.7965,418.9834,7065.2619,-87.5219,217.4480,0.3631,75
86162,CH50,1282.2772,11.0981,200.0806,-13.5834,1.27E-105,6.89E-05,0.0284,0.0024,1167.1368,1397.4177,5.6331,16.5631,21.1742,378.9869,-22.3464,-4.8204,0.4270,75
86769,serology for Covid,26035.1496,14359.2652,-85879.3519,-17527.5522,0.4451,0.0009,0.0284,4.91E-05,-40786.8077,92857.1069,5848.2823,22870.2481,-162678.4082,-9080.2955,-25989.4567,-9065.6477,0.7261,50
95943,Quantitative autonomic function testing of parasympathetic and sympathetic functions,1098.1931,-21.4196,198.1580,3.8295,6.45E-121,4.57E-26,0.0298,0.2778,1006.1403,1190.2460,-25.3952,-17.4441,19.4182,376.8978,-3.0865,10.7455,0.8475,46
Agg_psychological_testing,,59870.7565,-417.2333,12602.8155,1380.6135,1.55E-49,0.1948,0.0339,9.08E-05,51940.0618,67801.4511,-1047.9334,213.4669,960.1164,24245.5147,689.2613,2071.9656,0.7134,63
95913,Nerve conduction studies (depending on number of nerves tested),1791.8018,10.5146,353.6943,-1.6712,2.93E-76,0.0522,0.0389,0.8215,1601.7774,1981.8262,-0.1012,21.1305,18.0788,689.3098,-16.1917,12.8493,0.5409,75
86256,fluorescent noninfectious agent antibody titer,3207.7327,26.6900,759.1619,-98.9712,2.94E-172,0.0002,0.0408,3.95E-15,2983.0260,3432.4394,12.7079,40.6721,31.8113,1486.5124,-123.6619,-74.2805,0.5373,75
75561,cardiovascular magnetic resonance imaging,94.4554,3.1238,68.8477,2.2541,1.91E-09,0.0004,0.0434,0.1662,63.6274,125.2835,1.4095,4.8381,2.0415,135.6540,-0.9367,5.4449,0.7326,75
95909,Nerve conduction studies (depending on number of nerves tested),912.1462,4.1989,217.3802,-1.1827,6.78E-51,0.1848,0.0480,0.7882,793.0031,1031.2892,-2.0064,10.4041,1.9061,432.8544,-9.8131,7.4476,0.3527,75
96116," Neurobehavioral status exam, first hour. ",1683.3342,17.9380,433.3950,-0.5233,2.08E-35,0.0127,0.0487,0.9520,1417.6578,1949.0105,3.8285,32.0475,2.5342,864.2557,-17.5690,16.5224,0.6378,75
25605,Closed treatment of a distal radial fracture with manipulation ,59.8423,0.1370,60.4527,-0.5476,0.0004,0.8608,0.0517,0.6917,26.8530,92.8316,-1.3943,1.6683,-0.4566,121.3619,-3.2538,2.1586,0.1698,72
95992,Neuropsychological testing (sometimes used depending on setup),58.4068,-0.1337,51.7086,2.1357,8.23E-05,0.8449,0.0550,0.0865,29.3346,87.4790,-1.4739,1.2065,-1.1093,104.5264,-0.3064,4.5777,0.4292,71
86359,CD4/CD8 subsets,8726.3427,76.6060,926.4243,-104.0889,4.12E-205,3.58E-06,0.0588,9.20E-07,8166.6859,9285.9994,44.2073,109.0047,-34.6391,1887.4876,-145.6549,-62.5228,0.4997,75
