HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,Deviance,N_obs
96132," Neuropsychological testing evaluation services, first hour. ",8.1625,0.0039,0.1853,0.0130,0.0000,2.61E-19,2.36E-118,4.62E-157,8.1499,8.1750,0.0030,0.0047,0.1696,0.2010,0.0121,0.0140,4069.0974,57
85246,Clotting factors (selective use),7.2340,0.0162,0.2165,-0.0118,0.0000,0.0000,9.76E-117,5.48E-146,7.2185,7.2496,0.0156,0.0169,0.1980,0.2350,-0.0127,-0.0109,2670.6049,69
85240,Clotting factors (selective use),7.3500,0.0167,0.2019,-0.0120,0.0000,0.0000,3.24E-115,9.56E-170,7.3353,7.3646,0.0161,0.0174,0.1845,0.2192,-0.0129,-0.0112,3239.0018,69
81240,Prothrombin gene mutation,7.3696,-0.0155,0.3283,0.0118,0.0000,1.72E-265,7.10E-112,2.56E-68,7.3528,7.3863,-0.0163,-0.0146,0.2997,0.3570,0.0105,0.0132,1349.1001,69
82542,Prostaglandin D2 (lab-dependent methodology),9.5381,-0.0076,-0.1069,0.0083,0.0000,0.0000,2.96E-109,9.10E-291,9.5326,9.5436,-0.0079,-0.0073,-0.1163,-0.0975,0.0078,0.0087,16963.9336,69
86256,fluorescent noninfectious agent antibody titer,8.0752,0.0076,0.1682,-0.0294,0.0000,3.28E-205,4.79E-108,0.0000,8.0646,8.0858,0.0071,0.0081,0.1533,0.1831,-0.0301,-0.0286,8366.7203,69
85245,Clotting factors (selective use),6.9453,0.0186,0.2305,-0.0140,0.0000,0.0000,7.28E-108,1.01E-162,6.9275,6.9631,0.0178,0.0193,0.2100,0.2510,-0.0150,-0.0130,2440.8210,69
93224,Holter monitor (24-48 hr ECG),8.1111,-0.0011,0.1784,0.0053,0.0000,1.62E-05,3.05E-106,1.49E-43,8.1002,8.1219,-0.0017,-0.0006,0.1624,0.1943,0.0045,0.0060,5280.6656,69
95812,"EEG 41-60 minutes, awake/drowsy/sleep/coma",7.4436,0.0097,0.2044,-0.0042,0.0000,5.60E-183,1.28E-103,2.68E-20,7.4292,7.4581,0.0090,0.0103,0.1859,0.2229,-0.0051,-0.0033,3651.9058,69
93227,Holter monitor (24-48 hr ECG),7.7066,0.0052,0.1944,-0.0136,0.0000,3.95E-64,4.66E-99,1.06E-199,7.6937,7.7196,0.0046,0.0058,0.1764,0.2124,-0.0144,-0.0127,3760.5117,69
88344,immunocytochemistry,5.8743,0.0038,0.4512,-0.0037,0.0000,9.26E-07,1.24E-94,0.0004,5.8418,5.9068,0.0023,0.0053,0.4083,0.4940,-0.0057,-0.0017,853.4500,69
95720, Long-term EEG review and analysis (professional services),8.9509,0.0044,0.1382,0.0021,0.0000,1.66E-07,2.56E-94,0.0125,8.9369,8.9650,0.0028,0.0061,0.1250,0.1513,0.0005,0.0038,5178.9286,45
96113," Developmental test administration, each additional 30 minutes. ",7.0832,0.0148,0.2492,-0.0057,0.0000,1.48E-100,2.54E-92,2.25E-13,7.0624,7.1040,0.0134,0.0161,0.2252,0.2732,-0.0072,-0.0042,4419.2718,57
95911,Nerve conduction studies (depending on number of nerves tested),8.1050,0.0077,0.1463,-0.0079,0.0000,4.92E-217,5.20E-92,1.85E-115,8.0945,8.1154,0.0072,0.0082,0.1322,0.1604,-0.0086,-0.0072,6233.4225,69
27447,Total knee replacement (arthroplasty),3.9478,0.0095,0.9473,0.0131,0.0000,7.62E-07,4.45E-91,2.12E-09,3.8648,4.0308,0.0057,0.0133,0.8555,1.0390,0.0088,0.0174,1482.0984,69
92552,Pure tone audiogram,11.0781,0.0103,0.0305,-0.0115,0.0000,0.0000,2.25E-80,0.0000,11.0758,11.0804,0.0102,0.0104,0.0273,0.0336,-0.0116,-0.0113,290632.1602,69
96127," Brief emotional/behavioral assessment, per standardized instrument, with scoring and documentation. ",12.0114,0.0211,0.0156,-0.0109,0.0000,0.0000,9.76E-80,0.0000,12.0100,12.0127,0.0211,0.0212,0.0140,0.0172,-0.0110,-0.0109,573851.0134,69
95921,Cardiovagal (heart rate variability with deep breathing),7.6631,-0.0002,0.1832,0.0057,0.0000,0.5194,5.19E-75,5.58E-34,7.6495,7.6766,-0.0009,0.0004,0.1636,0.2028,0.0048,0.0066,6412.0552,69
25605,Closed treatment of a distal radial fracture with manipulation ,4.1605,-0.0039,0.9752,-0.0053,0.0000,0.0459,2.44E-73,0.0368,4.0811,4.2398,-0.0078,-7.11E-05,0.8697,1.0807,-0.0102,-0.0003,2521.5219,66
83993,Fecal calprotectin,7.5042,0.0325,0.1141,-0.0161,0.0000,0.0000,2.51E-73,0.0000,7.4917,7.5167,0.0319,0.0330,0.1018,0.1265,-0.0167,-0.0155,4940.5616,69
85390,Coagulation interpretation/report,6.5889,0.0370,0.1679,-0.0372,0.0000,0.0000,7.97E-71,0.0000,6.5695,6.6082,0.0362,0.0378,0.1494,0.1863,-0.0382,-0.0362,2462.6723,69
86359,CD4/CD8 subsets,9.0860,0.0072,0.0779,-0.0096,0.0000,0.0000,5.11E-66,0.0000,9.0796,9.0925,0.0069,0.0074,0.0690,0.0868,-0.0100,-0.0092,6746.1094,69
93225,Holter monitor (24-48 hr ECG),7.7948,0.0075,0.1450,-0.0210,0.0000,1.37E-150,9.01E-63,0.0000,7.7826,7.8070,0.0069,0.0081,0.1280,0.1621,-0.0218,-0.0201,4594.5319,69
11103,"Tangential skin biopsy, each additional lesion",6.7325,0.0010,0.2793,0.0027,0.0000,0.2650,1.07E-60,0.0101,6.7067,6.7583,-0.0008,0.0028,0.2460,0.3126,0.0006,0.0047,2420.7213,57
95887,"EMG non-extremity, with NCS",4.7071,0.0283,0.4375,-0.0400,0.0000,1.56E-145,3.57E-59,1.27E-177,4.6553,4.7589,0.0261,0.0304,0.3846,0.4904,-0.0428,-0.0372,1246.0253,69
11107,"Incisional skin biopsy, each additional lesion",4.0103,-0.0235,1.1783,0.0249,0.0000,1.43E-08,2.74E-54,3.17E-08,3.9026,4.1180,-0.0317,-0.0154,1.0295,1.3272,0.0161,0.0337,1778.7392,55
11105,"Punch skin biopsy, each additional lesion",5.8603,-0.0183,-0.6184,0.0181,0.0000,8.55E-31,1.65E-51,1.01E-15,5.8182,5.9024,-0.0215,-0.0152,-0.6986,-0.5381,0.0137,0.0225,1091.1930,57
95912,Nerve conduction studies (depending on number of nerves tested),7.6995,-0.0064,0.1633,0.0146,0.0000,6.52E-78,3.14E-51,1.27E-189,7.6858,7.7131,-0.0071,-0.0058,0.1421,0.1846,0.0137,0.0156,3356.4707,69
85730,aPTT,12.1456,0.0065,0.0151,-0.0095,0.0000,0.0000,9.96E-51,0.0000,12.1442,12.1470,0.0065,0.0066,0.0131,0.0171,-0.0096,-0.0094,72266.3446,69
88314,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",6.2058,-0.0168,-0.4966,0.0052,0.0000,1.58E-96,3.38E-46,0.0025,6.1757,6.2360,-0.0184,-0.0152,-0.5648,-0.4284,0.0018,0.0086,1066.3893,69
96146, Psychological or neuropsychological test administration with single automated standardized instrument via electronic platform,7.4907,-0.0557,0.3182,0.0352,0.0000,0.0000,4.96E-46,5.90E-176,7.4702,7.5112,-0.0575,-0.0539,0.2744,0.3619,0.0327,0.0376,2443.1104,57
96116," Neurobehavioral status exam, first hour. ",7.4193,0.0106,0.1232,-0.0048,0.0000,9.06E-217,1.01E-37,6.40E-26,7.4048,7.4339,0.0099,0.0112,0.1044,0.1421,-0.0058,-0.0039,6094.3678,69
75574,Cardiac CTA,5.7526,0.0284,0.1968,0.0007,0.0000,0.0000,9.46E-37,0.3642,5.7219,5.7833,0.0271,0.0297,0.1663,0.2272,-0.0008,0.0022,2178.9196,69
85300,Antithrombin III,6.3851,0.0159,0.1796,-0.0187,0.0000,3.32E-194,8.02E-34,6.74E-143,6.3613,6.4089,0.0149,0.0170,0.1506,0.2087,-0.0201,-0.0172,883.0371,69
95909,Nerve conduction studies (depending on number of nerves tested),6.8084,0.0051,0.1716,-0.0031,0.0000,3.21E-26,1.30E-33,5.73E-06,6.7881,6.8287,0.0041,0.0060,0.1438,0.1994,-0.0044,-0.0017,3784.0043,69
95715,"EEG with video monitoring, based on duration and technologist review.",6.7446,0.0398,0.1903,-0.0302,0.0000,1.10E-66,1.10E-30,3.30E-38,6.7042,6.7850,0.0353,0.0443,0.1579,0.2227,-0.0348,-0.0256,1262.9076,45
96125," Standardized cognitive performance testing, per hour. ",6.1372,-0.0359,0.3931,0.0579,0.0000,6.62E-278,1.86E-29,0.0000,6.1034,6.1709,-0.0379,-0.0340,0.3247,0.4614,0.0550,0.0608,3222.8240,69
