target_title,code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
HCPCS A0433,A0433,month,2022-11,3546,97433463.0,3.6394067200505846,3.5205948684615165,3.7612059679166787
HCPCS A0433,A0433,month,2022-12,3894,97814451.0,3.981006855520765,3.856939675798949,4.108049029812999
HCPCS A0433,A0433,month,2023-01,3702,98743626.0,3.749102752212077,3.6292953112201145,3.87185759847498
HCPCS A0433,A0433,month,2023-02,3142,99047187.0,3.172225375769632,3.0622649261627366,3.285125580337275
HCPCS A0433,A0433,month,2023-03,3672,99895730.0,3.6758327908510204,3.5578917901558924,3.7966872696184466
HCPCS A0433,A0433,month,2023-04,3628,100100536.0,3.624356217233442,3.507369541717004,3.744250507047928
HCPCS A0433,A0433,month,2023-05,3713,99734767.0,3.722874291168695,3.604079954237907,3.8445867189129608
HCPCS A0433,A0433,month,2023-06,3566,98529848.0,3.6192078566892745,3.5013844888971595,3.7399853320057774
HCPCS A0433,A0433,month,2023-07,3540,97857412.0,3.6175082987071026,3.4993121260133893,3.7386789395176225
HCPCS A0433,A0433,month,2023-08,3675,96623612.0,3.803418154146421,3.6814329284340515,3.928415514840511
HCPCS A0433,A0433,month,2023-09,3318,95335850.0,3.480327704635769,3.3629029466675178,3.6008061690141524
HCPCS A0433,A0433,month,2023-10,3620,93799620.0,3.859290687958011,3.734584366945171,3.987099959046381
HCPCS A0433,A0433,month,2023-11,3241,92066205.0,3.5202928153712865,3.4001291041809387,3.6436188996268872
HCPCS A0433,A0433,month,2023-12,3782,90517353.0,4.178204371486647,4.046092830054001,4.3135309918875
HCPCS A0433,A0433,quarter,2018-Q1,6223,230550049.0,2.6991969973513212,2.632545792819634,2.767108972134893
HCPCS A0433,A0433,quarter,2018-Q2,5457,228935769.0,2.383638006344041,2.320809890133443,2.4477361497658223
HCPCS A0433,A0433,quarter,2018-Q3,5278,227904788.0,2.3158793838065392,2.2538176894161763,2.3792169481776164
HCPCS A0433,A0433,quarter,2018-Q4,5833,226095567.0,2.5798825149013203,2.5140957088461473,2.646955110658476
HCPCS A0433,A0433,quarter,2019-Q1,6418,225406912.0,2.8472951175516745,2.7780567034589834,2.9178229849753943
HCPCS A0433,A0433,quarter,2019-Q2,6460,224099443.0,2.8826488426390244,2.8127775807049327,2.953817063283502
HCPCS A0433,A0433,quarter,2019-Q3,6622,225151016.0,2.941137072195135,2.8707202766344366,3.0128447025740757
HCPCS A0433,A0433,quarter,2019-Q4,7341,223888589.0,3.278862952680451,3.204281282133567,3.354742467317877
HCPCS A0433,A0433,quarter,2020-Q1,4807,149176444.0,3.222358618496094,3.1319022145000788,3.3147646678327005
HCPCS A0433,A0433,quarter,2020-Q2,2387,78055480.0,3.0580812519505356,2.9366199692526513,3.1832761682874353
HCPCS A0433,A0433,quarter,2020-Q3,7871,240451013.0,3.273431832038071,3.201510201642637,3.3465617477572316
HCPCS A0433,A0433,quarter,2020-Q4,8736,252197294.0,3.4639546925511424,3.3916929619791563,3.5373682098408783
HCPCS A0433,A0433,quarter,2021-Q1,10141,256211709.0,3.958054860014223,3.881389947508691,4.035853219448885
